artist,artist_followers,artist_popularity,duration_ms,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,lyric_total_word_count,lyric_unique_word_count,popularity,release_date,release_year,song_id,song_name,track,win/loss,annualGrammy,GrammyYear
Amy Winehouse,5145469,79,213760,0.0473,https://api.spotify.com/v1/audio-analysis/1L5tZi0izXsi5Kk5OJf4W0,0.434,213760,0.872,1L5tZi0izXsi5Kk5OJf4W0,1.83E-06,0,0.396,-2.974,1,0.0702,71.515,4,https://api.spotify.com/v1/tracks/1L5tZi0izXsi5Kk5OJf4W0,audio_features,spotify:track:1L5tZi0izXsi5Kk5OJf4W0,0.732,431,126,74,1/1/06,2007,1L5tZi0izXsi5Kk5OJf4W0,Rehab,Rehab,1,50,2008
Dixie Chicks,638758,68,237296,0.134,https://api.spotify.com/v1/audio-analysis/6LCEyZZHFF4ebF1Mike1s5,0.425,237297,0.554,6LCEyZZHFF4ebF1Mike1s5,8.56E-05,6,0.0963,-4.145,1,0.0298,83.917,4,https://api.spotify.com/v1/tracks/6LCEyZZHFF4ebF1Mike1s5,audio_features,spotify:track:6LCEyZZHFF4ebF1Mike1s5,0.288,405,138,62,4/7/06,2006,6LCEyZZHFF4ebF1Mike1s5,Not Ready To Make Nice,Not Ready to Make Nice,1,49,2007
Tina Turner,924182,70,226880,0.219,https://api.spotify.com/v1/audio-analysis/6FcQD1qOpqV8NdhY45sKyI,0.851,226880,0.406,6FcQD1qOpqV8NdhY45sKyI,6.41E-06,1,0.0853,-11.631,1,0.0661,97.84,4,https://api.spotify.com/v1/tracks/6FcQD1qOpqV8NdhY45sKyI,audio_features,spotify:track:6FcQD1qOpqV8NdhY45sKyI,0.792,366,104,67,9/30/91,1984,6FcQD1qOpqV8NdhY45sKyI,What's Love Got To Do With It,What's Love Got to Do with It,1,27,1985
Simon & Garfunkel,1534771,74,244026,0.713,https://api.spotify.com/v1/audio-analysis/0iOZM63lendWRTTeKhZBSC,0.606,244027,0.457,0iOZM63lendWRTTeKhZBSC,2.53E-05,6,0.0747,-14.035,0,0.0497,92.033,4,https://api.spotify.com/v1/tracks/0iOZM63lendWRTTeKhZBSC,audio_features,spotify:track:0iOZM63lendWRTTeKhZBSC,0.813,361,128,73,4/3/68,1968,0iOZM63lendWRTTeKhZBSC,Mrs. Robinson,Mrs. Robinson,1,11,1969
The 5th Dimension,71921,50,289293,0.446,https://api.spotify.com/v1/audio-analysis/0HZlND4giwzgolBpaNIRGV,0.293,289293,0.74,0HZlND4giwzgolBpaNIRGV,0.00151,7,0.0998,-6.098,1,0.0399,118.23,4,https://api.spotify.com/v1/tracks/0HZlND4giwzgolBpaNIRGV,audio_features,spotify:track:0HZlND4giwzgolBpaNIRGV,0.516,352,94,52,3/23/00,1969,0HZlND4giwzgolBpaNIRGV,Aquarius/Let The Sunshine In (The Flesh Failures),Aquarius / Let the Sunshine In (The Flesh Failures) [Remastered],1,12,1970
U2,3917767,81,248066,0.0144,https://api.spotify.com/v1/audio-analysis/1VuBmEauSZywQVtqbxNqka,0.537,248067,0.921,1VuBmEauSZywQVtqbxNqka,0.00479,2,0.382,-6.474,1,0.0481,136.264,4,https://api.spotify.com/v1/tracks/1VuBmEauSZywQVtqbxNqka,audio_features,spotify:track:1VuBmEauSZywQVtqbxNqka,0.467,327,146,62,1/1/00,2000,1VuBmEauSZywQVtqbxNqka,Beautiful Day,Beautiful Day,1,43,2001
Bette Midler,207231,58,293853,0.551,https://api.spotify.com/v1/audio-analysis/4ErUhFToT1yX52MeHqH8OY,0.51,293853,0.458,4ErUhFToT1yX52MeHqH8OY,0,10,0.0853,-7.566,1,0.0289,123.694,4,https://api.spotify.com/v1/tracks/4ErUhFToT1yX52MeHqH8OY,audio_features,spotify:track:4ErUhFToT1yX52MeHqH8OY,0.177,326,106,54,1993,1989,4ErUhFToT1yX52MeHqH8OY,Wind Beneath My Wings,Wind Beneath My Wings,1,32,1990
Toto,810537,76,331200,0.0213,https://api.spotify.com/v1/audio-analysis/37BTh5g05cxBIRYMbw8g2T,0.384,331200,0.512,37BTh5g05cxBIRYMbw8g2T,0.000139,7,0.205,-13.035,0,0.0358,78.442,4,https://api.spotify.com/v1/tracks/37BTh5g05cxBIRYMbw8g2T,audio_features,spotify:track:37BTh5g05cxBIRYMbw8g2T,0.739,323,89,68,4/8/82,1982,37BTh5g05cxBIRYMbw8g2T,Rosanna,Rosanna,1,25,1983
Robert Plant,380188,56,353226,0.224,https://api.spotify.com/v1/audio-analysis/1m5N9YCZL4BXuSXdYmhRaj,0.519,353227,0.522,1m5N9YCZL4BXuSXdYmhRaj,0.342,9,0.165,-8.626,1,0.0376,144.201,4,https://api.spotify.com/v1/tracks/1m5N9YCZL4BXuSXdYmhRaj,audio_features,spotify:track:1m5N9YCZL4BXuSXdYmhRaj,0.442,319,114,38,10/23/07,2008,1m5N9YCZL4BXuSXdYmhRaj,Please Read The Letter,Please Read The Letter,1,51,2009
Green Day,7727933,82,262333,0.00552,https://api.spotify.com/v1/audio-analysis/5GorCbAP4aL0EJ16frG2hd,0.496,262333,0.682,5GorCbAP4aL0EJ16frG2hd,2.94E-05,8,0.0589,-4.095,1,0.0294,167.06,4,https://api.spotify.com/v1/tracks/5GorCbAP4aL0EJ16frG2hd,audio_features,spotify:track:5GorCbAP4aL0EJ16frG2hd,0.474,298,93,71,11/17/17,2005,5GorCbAP4aL0EJ16frG2hd,Boulevard Of Broken Dreams,Boulevard of Broken Dreams,1,48,2006
