artist,artist_followers,artist_popularity,duration_ms,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,lyric_total_word_count,lyric_unique_word_count,popularity,release_date,release_year,song_id,song_name,track,win/loss
Brett Young,276256,72,224853,0.386,https://api.spotify.com/v1/audio-analysis/10M2Ex445zw585Ducldzkw,0.607,224853.0,0.536,10M2Ex445zw585Ducldzkw,0.0,10.0,0.102,-7.306,1.0,0.0305,147.986,4.0,https://api.spotify.com/v1/tracks/10M2Ex445zw585Ducldzkw,audio_features,spotify:track:10M2Ex445zw585Ducldzkw,0.434,314,100,75,2017-02-10,2017,10M2Ex445zw585Ducldzkw,In Case You Didn't Know,In Case You Didn't Know,0
Migos,7824662,87,304041,0.307,https://api.spotify.com/v1/audio-analysis/6p8NuHm8uCGnn2Dtbtf7zE,0.92,304041.0,0.674,6p8NuHm8uCGnn2Dtbtf7zE,0.0,1.0,0.104,-5.662,0.0,0.264,141.967,4.0,https://api.spotify.com/v1/tracks/6p8NuHm8uCGnn2Dtbtf7zE,audio_features,spotify:track:6p8NuHm8uCGnn2Dtbtf7zE,0.741,192,133,78,2017-01-27,2017,6p8NuHm8uCGnn2Dtbtf7zE,Slippery,Slippery (feat. Gucci Mane),0
Julia Michaels,1183203,84,176320,0.401,https://api.spotify.com/v1/audio-analysis/7vu0JkJh0ldukEYbTVcqd0,0.728,176320.0,0.415,7vu0JkJh0ldukEYbTVcqd0,0.0,8.0,0.0616,-6.852,1.0,0.0639,114.145,4.0,https://api.spotify.com/v1/tracks/7vu0JkJh0ldukEYbTVcqd0,audio_features,spotify:track:7vu0JkJh0ldukEYbTVcqd0,0.455,466,104,75,2017-07-28,2017,7vu0JkJh0ldukEYbTVcqd0,Issues,Issues,0
Ayo & Teo,540635,67,238586,0.0837,https://api.spotify.com/v1/audio-analysis/0pSBuHjILhNEo55xK1zrRt,0.804,238587.0,0.886,0pSBuHjILhNEo55xK1zrRt,0.0,1.0,0.266,-2.512,1.0,0.04,144.946,4.0,https://api.spotify.com/v1/tracks/0pSBuHjILhNEo55xK1zrRt,audio_features,spotify:track:0pSBuHjILhNEo55xK1zrRt,0.789,730,152,75,2017-03-15,2017,0pSBuHjILhNEo55xK1zrRt,Rolex,Rolex,0
The Chainsmokers,9766608,89,244960,0.414,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,0.748,244960.0,0.524,7BKLCZ1jbUBVqRi2FVlTVw,0.0,8.0,0.111,-5.599,1.0,0.0338,95.01,4.0,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,audio_features,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,0.661,457,124,85,2016-07-29,2016,7BKLCZ1jbUBVqRi2FVlTVw,Closer,Closer,0
Linkin Park,10767835,86,216933,0.0103,https://api.spotify.com/v1/audio-analysis/60a0Rd6pjrkxjPbaKzXjfq,0.542,216933.0,0.853,60a0Rd6pjrkxjPbaKzXjfq,0.0,3.0,0.108,-6.407,0.0,0.0498,105.256,4.0,https://api.spotify.com/v1/tracks/60a0Rd6pjrkxjPbaKzXjfq,audio_features,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,0.37,461,144,82,2000-10-24,2000,60a0Rd6pjrkxjPbaKzXjfq,In The End,In The End,0
XXXTENTACION,8287256,98,186267,0.1,https://api.spotify.com/v1/audio-analysis/01TnVDiet1DFTsyWKUKovl,0.414,186268.0,0.416,01TnVDiet1DFTsyWKUKovl,0.179,11.0,0.131,-8.024,0.0,0.0251,159.91,4.0,https://api.spotify.com/v1/tracks/01TnVDiet1DFTsyWKUKovl,audio_features,spotify:track:01TnVDiet1DFTsyWKUKovl,0.196,273,136,81,2018-03-16,2018,01TnVDiet1DFTsyWKUKovl,Numb,NUMB,0
Keith Urban,2786006,75,184040,0.0304,https://api.spotify.com/v1/audio-analysis/5OUSPcqhYTOzpbXzoEvKim,0.681,184040.0,0.845,5OUSPcqhYTOzpbXzoEvKim,0.0,11.0,0.197,-5.147,0.0,0.0525,132.023,4.0,https://api.spotify.com/v1/tracks/5OUSPcqhYTOzpbXzoEvKim,audio_features,spotify:track:5OUSPcqhYTOzpbXzoEvKim,0.761,504,111,65,2016-05-06,2016,5OUSPcqhYTOzpbXzoEvKim,The Fighter,The Fighter,0
Migos,7824665,87,343150,0.061,https://api.spotify.com/v1/audio-analysis/4Km5HrUvYTaSUfiSGPJeQR,0.927,343150.0,0.665,4Km5HrUvYTaSUfiSGPJeQR,0.0,11.0,0.123,-5.313,1.0,0.244,127.076,4.0,https://api.spotify.com/v1/tracks/4Km5HrUvYTaSUfiSGPJeQR,audio_features,spotify:track:4Km5HrUvYTaSUfiSGPJeQR,0.175,354,241,77,2017-01-27,2017,4Km5HrUvYTaSUfiSGPJeQR,Bad And Boujee,Bad and Boujee (feat. Lil Uzi Vert),0
KYLE,648919,77,253106,0.378,https://api.spotify.com/v1/audio-analysis/2EEeOnHehOozLq4aS0n6SL,0.746,253107.0,0.653,2EEeOnHehOozLq4aS0n6SL,0.0,7.0,0.229,-6.745,1.0,0.289,75.016,4.0,https://api.spotify.com/v1/tracks/2EEeOnHehOozLq4aS0n6SL,audio_features,spotify:track:2EEeOnHehOozLq4aS0n6SL,0.672,294,155,77,2016-12-02,2016,2EEeOnHehOozLq4aS0n6SL,iSpy,iSpy (feat. Lil Yachty),0
Sister Nancy,47826,54,196506,0.825,https://api.spotify.com/v1/audio-analysis/7cKLOenzViwzoHJWciMIrj,0.722,196507.0,0.605,7cKLOenzViwzoHJWciMIrj,0.0178,5.0,0.248,-6.07,1.0,0.153,165.998,4.0,https://api.spotify.com/v1/tracks/7cKLOenzViwzoHJWciMIrj,audio_features,spotify:track:7cKLOenzViwzoHJWciMIrj,0.709,516,118,65,2002-03-15,2002,7cKLOenzViwzoHJWciMIrj,Bam,Bam Bam,0
Luke Combs,702991,80,222533,0.0153,https://api.spotify.com/v1/audio-analysis/6xHI9KjUjYT0FPtGO8Mxa1,0.464,222533.0,0.813,6xHI9KjUjYT0FPtGO8Mxa1,0.0,10.0,0.254,-6.185,1.0,0.0416,75.975,4.0,https://api.spotify.com/v1/tracks/6xHI9KjUjYT0FPtGO8Mxa1,audio_features,spotify:track:6xHI9KjUjYT0FPtGO8Mxa1,0.516,342,132,76,2017-06-02,2017,6xHI9KjUjYT0FPtGO8Mxa1,Hurricane,Hurricane,0
Calvin Harris,14169266,91,230813,0.498,https://api.spotify.com/v1/audio-analysis/6gpcs5eMhJwax4mIfKDYQk,0.736,230813.0,0.795,6gpcs5eMhJwax4mIfKDYQk,1.21e-06,1.0,0.254,-3.299,0.0,0.0545,104.066,4.0,https://api.spotify.com/v1/tracks/6gpcs5eMhJwax4mIfKDYQk,audio_features,spotify:track:6gpcs5eMhJwax4mIfKDYQk,0.511,587,209,74,2017-02-24,2017,6gpcs5eMhJwax4mIfKDYQk,Slide,Slide,0
Travis Scott,3769558,96,243836,0.0847,https://api.spotify.com/v1/audio-analysis/6gBFPUFcJLzWGx4lenP6h2,0.841,243837.0,0.728,6gBFPUFcJLzWGx4lenP6h2,0.0,7.0,0.149,-3.37,1.0,0.0484,130.049,4.0,https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2,audio_features,spotify:track:6gBFPUFcJLzWGx4lenP6h2,0.43,695,218,85,2016-09-16,2016,6gBFPUFcJLzWGx4lenP6h2,Goosebumps,goosebumps,0
Migos,7824665,87,242407,0.242,https://api.spotify.com/v1/audio-analysis/7KOlJ92bu51cltsD9KU5I7,0.865,242407.0,0.687,7KOlJ92bu51cltsD9KU5I7,0.0,10.0,0.158,-3.744,0.0,0.217,139.023,4.0,https://api.spotify.com/v1/tracks/7KOlJ92bu51cltsD9KU5I7,audio_features,spotify:track:7KOlJ92bu51cltsD9KU5I7,0.486,722,283,74,2017-01-27,2017,7KOlJ92bu51cltsD9KU5I7,T-Shirt,T-Shirt,0
Alessia Cara,4214736,82,230226,0.0285,https://api.spotify.com/v1/audio-analysis/0prNGof3XqfTvNDxHonvdK,0.573,230227.0,0.739,0prNGof3XqfTvNDxHonvdK,0.0,0.0,0.111,-5.74,1.0,0.129,97.085,4.0,https://api.spotify.com/v1/tracks/0prNGof3XqfTvNDxHonvdK,audio_features,spotify:track:0prNGof3XqfTvNDxHonvdK,0.451,484,137,73,2015-11-13,2015,0prNGof3XqfTvNDxHonvdK,Scars To Your Beautiful,Scars To Your Beautiful,0
Rae Sremmurd,4208756,82,208120,0.2,https://api.spotify.com/v1/audio-analysis/6mapJIPnQ23RTAevUoE0DL,0.681,208120.0,0.314,6mapJIPnQ23RTAevUoE0DL,9.82e-06,8.0,0.1,-9.319,1.0,0.0581,139.992,4.0,https://api.spotify.com/v1/tracks/6mapJIPnQ23RTAevUoE0DL,audio_features,spotify:track:6mapJIPnQ23RTAevUoE0DL,0.166,541,198,76,2016-08-12,2016,6mapJIPnQ23RTAevUoE0DL,Swang,Swang,0
Clean Bandit,1832644,85,251088,0.406,https://api.spotify.com/v1/audio-analysis/5knuzwU65gJK7IF5yJsuaW,0.72,251088.0,0.763,5knuzwU65gJK7IF5yJsuaW,0.0,9.0,0.18,-4.068,0.0,0.0523,101.965,4.0,https://api.spotify.com/v1/tracks/5knuzwU65gJK7IF5yJsuaW,audio_features,spotify:track:5knuzwU65gJK7IF5yJsuaW,0.742,903,385,81,2016-10-21,2016,5knuzwU65gJK7IF5yJsuaW,Rockabye,Rockabye (feat. Sean Paul & Anne-Marie),0
JAY Z,411377,0,219320,0.0763,https://api.spotify.com/v1/audio-analysis/2KpCpk6HjXXLb7nnXoXA5O,0.757,219320.0,0.882,2KpCpk6HjXXLb7nnXoXA5O,0.0,1.0,0.251,-6.125,1.0,0.248,140.047,4.0,https://api.spotify.com/v1/tracks/2KpCpk6HjXXLb7nnXoXA5O,audio_features,spotify:track:2KpCpk6HjXXLb7nnXoXA5O,0.684,1096,647,75,2014-12-09,2014,2KpCpk6HjXXLb7nnXoXA5O,Paris,Ni**as In Paris,0
Post Malone,8812736,96,234213,0.0931,https://api.spotify.com/v1/audio-analysis/0H8XeaJunhvpBdBFIYi6Sh,0.62,234213.0,0.69,0H8XeaJunhvpBdBFIYi6Sh,0.0,7.0,0.131,-6.508,1.0,0.0493,133.935,4.0,https://api.spotify.com/v1/tracks/0H8XeaJunhvpBdBFIYi6Sh,audio_features,spotify:track:0H8XeaJunhvpBdBFIYi6Sh,0.331,644,162,75,2016-12-09,2016,0H8XeaJunhvpBdBFIYi6Sh,Deja Vu,Deja Vu,0
Gucci Mane,2302305,88,190311,0.119,https://api.spotify.com/v1/audio-analysis/5tFep7dXGd7vEJ668wTPux,0.85,190312.0,0.405,5tFep7dXGd7vEJ668wTPux,0.000118,7.0,0.0707,-7.509,0.0,0.225,139.976,4.0,https://api.spotify.com/v1/tracks/5tFep7dXGd7vEJ668wTPux,audio_features,spotify:track:5tFep7dXGd7vEJ668wTPux,0.344,655,276,74,2016-12-16,2016,5tFep7dXGd7vEJ668wTPux,Both,Both (feat. Drake),0
Big Sean,5310356,85,222360,0.105,https://api.spotify.com/v1/audio-analysis/0SGkqnVQo9KPytSri1H6cF,0.77,222360.0,0.567,0SGkqnVQo9KPytSri1H6cF,0.0,2.0,0.125,-5.698,1.0,0.175,81.477,4.0,https://api.spotify.com/v1/tracks/0SGkqnVQo9KPytSri1H6cF,audio_features,spotify:track:0SGkqnVQo9KPytSri1H6cF,0.26,801,300,78,2017-02-03,2017,0SGkqnVQo9KPytSri1H6cF,Bounce Back,Bounce Back,0
The Weeknd,13438902,90,269186,0.426,https://api.spotify.com/v1/audio-analysis/3dhjNA0jGA8vHBQ1VdD6vV,0.773,269187.0,0.819,3dhjNA0jGA8vHBQ1VdD6vV,0.0,0.0,0.0679,-5.946,0.0,0.118,92.99,4.0,https://api.spotify.com/v1/tracks/3dhjNA0jGA8vHBQ1VdD6vV,audio_features,spotify:track:3dhjNA0jGA8vHBQ1VdD6vV,0.585,665,110,80,2016-11-25,2016,3dhjNA0jGA8vHBQ1VdD6vV,I Feel It Coming,I Feel It Coming,0
Rihanna,28294165,91,224000,0.0717,https://api.spotify.com/v1/audio-analysis/2aksifNn5ph8igDOkPBA02,0.509,224000.0,0.637,2aksifNn5ph8igDOkPBA02,1.08e-05,4.0,0.0789,-4.83,0.0,0.0471,172.006,3.0,https://api.spotify.com/v1/tracks/2aksifNn5ph8igDOkPBA02,audio_features,spotify:track:2aksifNn5ph8igDOkPBA02,0.378,383,131,72,2016-01-28,2016,2aksifNn5ph8igDOkPBA02,Love On The Brain,Love On The Brain,0
Brett Young,276257,72,217120,0.84,https://api.spotify.com/v1/audio-analysis/2VIPU72L6tIR4w8J8ap6Kp,0.638,217120.0,0.367,2VIPU72L6tIR4w8J8ap6Kp,0.0,4.0,0.0999,-7.906,1.0,0.0266,71.957,4.0,https://api.spotify.com/v1/tracks/2VIPU72L6tIR4w8J8ap6Kp,audio_features,spotify:track:2VIPU72L6tIR4w8J8ap6Kp,0.219,277,83,74,2017-02-10,2017,2VIPU72L6tIR4w8J8ap6Kp,Mercy,Mercy,0
Maroon 5,14373824,90,214265,0.343,https://api.spotify.com/v1/audio-analysis/1nueTG77MzNkJTKQ0ZdGzT,0.783,214265.0,0.61,1nueTG77MzNkJTKQ0ZdGzT,0.0,7.0,0.0983,-6.124,1.0,0.0696,100.047,4.0,https://api.spotify.com/v1/tracks/1nueTG77MzNkJTKQ0ZdGzT,audio_features,spotify:track:1nueTG77MzNkJTKQ0ZdGzT,0.418,729,378,71,2018-06-15,2018,1nueTG77MzNkJTKQ0ZdGzT,Don't Wanna Know,Don't Wanna Know (feat. Kendrick Lamar),0
Drake,29559769,100,210937,0.108,https://api.spotify.com/v1/audio-analysis/343YBumqHu19cGoGARUTsd,0.927,210937.0,0.488,343YBumqHu19cGoGARUTsd,0.0,9.0,0.196,-9.433,0.0,0.42,133.987,4.0,https://api.spotify.com/v1/tracks/343YBumqHu19cGoGARUTsd,audio_features,spotify:track:343YBumqHu19cGoGARUTsd,0.605,551,124,76,2017-03-18,2017,343YBumqHu19cGoGARUTsd,Fake Love,Fake Love,0
The Weeknd,13438904,90,230453,0.141,https://api.spotify.com/v1/audio-analysis/7MXVkk9YMctZqd1Srtv4MB,0.678,230453.0,0.588,7MXVkk9YMctZqd1Srtv4MB,6.35e-06,7.0,0.137,-7.015,1.0,0.276,186.005,4.0,https://api.spotify.com/v1/tracks/7MXVkk9YMctZqd1Srtv4MB,audio_features,spotify:track:7MXVkk9YMctZqd1Srtv4MB,0.486,534,182,83,2016-11-25,2016,7MXVkk9YMctZqd1Srtv4MB,Starboy,Starboy,0
Machine Gun Kelly,1286946,79,239293,0.214,https://api.spotify.com/v1/audio-analysis/1PSBzsahR2AKwLJgx8ehBj,0.697,239293.0,0.691,1PSBzsahR2AKwLJgx8ehBj,0.0,2.0,0.185,-4.757,1.0,0.146,137.853,4.0,https://api.spotify.com/v1/tracks/1PSBzsahR2AKwLJgx8ehBj,audio_features,spotify:track:1PSBzsahR2AKwLJgx8ehBj,0.305,3020,1279,74,2017-05-12,2017,1PSBzsahR2AKwLJgx8ehBj,Bad Things,Bad Things (with Camila Cabello),0
Lady Gaga,6045903,93,205280,0.437,https://api.spotify.com/v1/audio-analysis/7dZ1Odmx9jWIweQSatnRqo,0.665,205280.0,0.424,7dZ1Odmx9jWIweQSatnRqo,0.0,0.0,0.107,-7.838,1.0,0.0444,129.911,4.0,https://api.spotify.com/v1/tracks/7dZ1Odmx9jWIweQSatnRqo,audio_features,spotify:track:7dZ1Odmx9jWIweQSatnRqo,0.134,438,122,81,2016-10-21,2016,7dZ1Odmx9jWIweQSatnRqo,Million Reasons,Million Reasons,0
Adele,12597776,85,240426,0.0189,https://api.spotify.com/v1/audio-analysis/4vb4mFvYsr2h6enhjJsq9Y,0.596,240427.0,0.838,4vb4mFvYsr2h6enhjJsq9Y,1.54e-05,5.0,0.108,-6.52,0.0,0.0704,94.982,4.0,https://api.spotify.com/v1/tracks/4vb4mFvYsr2h6enhjJsq9Y,audio_features,spotify:track:4vb4mFvYsr2h6enhjJsq9Y,0.472,499,108,69,2016-06-24,2016,4vb4mFvYsr2h6enhjJsq9Y,Water Under The Bridge,Water Under the Bridge,0
