album_url,artist,artist_followers,artist_image_url_l,artist_image_url_s,artist_popularity,duration_ms,features.acousticness,features.analysis_url,features.danceability,features.duration_ms,features.energy,features.id,features.instrumentalness,features.key,features.liveness,features.loudness,features.mode,features.speechiness,features.tempo,features.time_signature,features.track_href,features.type,features.uri,features.valence,lyric_total_word_count,lyric_unique_word_count,popularity,release_date,release_year,song_id,song_name,track,win/loss
https://i.scdn.co/image/bf41f93f8c895eff007b88bd2e23e12dfe078792,Bruno Mars,18302204,https://i.scdn.co/image/5461dcbb3f23e1df62d85c8273fc49cc4edd49d5,https://i.scdn.co/image/63cad86cb183568085a4e5f0be86aa187cc511e4,90,225983,0.034,https://api.spotify.com/v1/audio-analysis/6b8Be6ljOzmkOmFslEb23P,0.818,225983,0.803,6b8Be6ljOzmkOmFslEb23P,0.0,1,0.153,-4.282,1,0.0797,106.97,4,https://api.spotify.com/v1/tracks/6b8Be6ljOzmkOmFslEb23P,audio_features,spotify:track:6b8Be6ljOzmkOmFslEb23P,0.632,549,201,79,2016-11-17,2016,6b8Be6ljOzmkOmFslEb23P,24K Magic,24K Magic,1
https://i.scdn.co/image/c5590d3d360a2c278d5cabb6eaa7b0a9e6bae421,Kelly Clarkson,4160154,https://i.scdn.co/image/5e225f06cf4f2c02262c0fa4b10886824c9b3890,https://i.scdn.co/image/9c93bbf952dff60df8a71a761e55c370ab96daf5,80,172426,0.0053,https://api.spotify.com/v1/audio-analysis/16QN8cBubEq706vNtPpOME,0.808,172427,0.581,16QN8cBubEq706vNtPpOME,1.19e-05,11,0.0828,-5.43,1,0.07,130.012,4,https://api.spotify.com/v1/tracks/16QN8cBubEq706vNtPpOME,audio_features,spotify:track:16QN8cBubEq706vNtPpOME,0.758,521,127,66,2017-10-27,2017,16QN8cBubEq706vNtPpOME,Love So Soft,Love So Soft,1
https://i.scdn.co/image/909be9469ed835c9a8b0398cd58d428a391cfdf9,Luis Fonsi,4358667,https://i.scdn.co/image/e0b5345bcaeb68a89777c0cd589a7b55a8ab56d4,https://i.scdn.co/image/69c7b65c3a597dc76fc392deef481e9d41daf653,85,228826,0.228,https://api.spotify.com/v1/audio-analysis/6rPO02ozF3bM7NnOV4h6s2,0.653,228827,0.816,6rPO02ozF3bM7NnOV4h6s2,0.0,2,0.0967,-4.353,1,0.167,178.086,4,https://api.spotify.com/v1/tracks/6rPO02ozF3bM7NnOV4h6s2,audio_features,spotify:track:6rPO02ozF3bM7NnOV4h6s2,0.816,663,277,80,2017-04-17,2017,6rPO02ozF3bM7NnOV4h6s2,Despacito (Remix),Despacito - Remix,1
https://i.scdn.co/image/4988546859334f9a5a3fa4acedc5aea275929026,Kendrick Lamar,11310761,https://i.scdn.co/image/b772a78d4cb192268d6f601a78f21044c17d6dda,https://i.scdn.co/image/5259c0496329b3f608a1ae0edb799cd2f8451acc,91,177000,0.000282,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,0.908,177000,0.621,7KXjTSCq5nL1LoYtL7XAwS,5.39e-05,1,0.0958,-6.638,0,0.102,150.011,4,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,audio_features,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,0.421,827,221,84,2017-04-14,2017,7KXjTSCq5nL1LoYtL7XAwS,Humble,HUMBLE.,1
https://i.scdn.co/image/0623e4c3a9a49f50c07b89f02b7f303c78b4c6ab,Lorde,3859718,https://i.scdn.co/image/2f22ea3ea1597887d86441a030204dac49a74a81,https://i.scdn.co/image/ca2e7772dcdfd03401cdd0c66aeee1bea8ea3904,79,234652,0.0209,https://api.spotify.com/v1/audio-analysis/6ie2Bw3xLj2JcGowOlcMhb,0.594,234653,0.721,6ie2Bw3xLj2JcGowOlcMhb,8.55e-06,2,0.0879,-7.812,1,0.0957,128.942,4,https://api.spotify.com/v1/tracks/6ie2Bw3xLj2JcGowOlcMhb,audio_features,spotify:track:6ie2Bw3xLj2JcGowOlcMhb,0.253,528,117,74,2017-06-16,2017,6ie2Bw3xLj2JcGowOlcMhb,Green Light,Green Light,1
https://i.scdn.co/image/49c99505c9dd13fb27b6bc82dfa69d0fe58f0193,Childish Gambino,4096702,https://i.scdn.co/image/5f0bb754710ffd901940dcfa375ca4129b3db996,https://i.scdn.co/image/b51d5cb42b166784f4e1e1e2ef8e87e0135f0f9e,82,326933,0.172,https://api.spotify.com/v1/audio-analysis/3kxfsdsCpFgN412fpnW85Y,0.745,326933,0.356,3kxfsdsCpFgN412fpnW85Y,0.00943,1,0.123,-10.425,1,0.0941,160.033,4,https://api.spotify.com/v1/tracks/3kxfsdsCpFgN412fpnW85Y,audio_features,spotify:track:3kxfsdsCpFgN412fpnW85Y,0.607,356,118,81,2016-12-02,2016,3kxfsdsCpFgN412fpnW85Y,Redbone,Redbone,1
https://i.scdn.co/image/ba596dc33258b25898d7a5eeb71a4235c6ca78ec,Wiz Kid the Weirdo,54,https://i.scdn.co/image/36775825fd97dda3c1ec90dc6fca5dc147941624,https://i.scdn.co/image/7f1012e90166e09339d223c740b21fc47aeae34d,19,208195,0.489,https://api.spotify.com/v1/audio-analysis/7AOBguNeBLIQqGwCMx4eht,0.599,208196,0.677,7AOBguNeBLIQqGwCMx4eht,0.0,11,0.152,-7.485,1,0.396,78.243,4,https://api.spotify.com/v1/tracks/7AOBguNeBLIQqGwCMx4eht,audio_features,spotify:track:7AOBguNeBLIQqGwCMx4eht,0.639,21679,5414,31,2017-12-22,2017,7AOBguNeBLIQqGwCMx4eht,The Story Of O.J.,Story of O.J,1
https://i.scdn.co/image/37aeea14e41e3dc022fce3c07ee99645df02d10d,YG,1419529,https://i.scdn.co/image/447746dc00637fe15c2c2e3f5bc9c2f9a6e9a93d,https://i.scdn.co/image/3a88e0a8eb87b98b1e9fe6c80bc6cc6364fd5364,83,237240,0.00552,https://api.spotify.com/v1/audio-analysis/0ZNrc4kNeQYD9koZ3KvCsy,0.745,237240,0.346,0ZNrc4kNeQYD9koZ3KvCsy,0.0,1,0.0881,-7.709,1,0.331,203.911,4,https://api.spotify.com/v1/tracks/0ZNrc4kNeQYD9koZ3KvCsy,audio_features,spotify:track:0ZNrc4kNeQYD9koZ3KvCsy,0.112,551,364,85,2018-08-03,2018,0ZNrc4kNeQYD9koZ3KvCsy,Stay,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",1
https://i.scdn.co/image/01c84f9161286cc182cdc4abc4810560336d2966,Lady Gaga,6056659,https://i.scdn.co/image/4fb4cec0ed27f5e933f3ca8e8e2410b0b3b52623,https://i.scdn.co/image/ab1f49b3c51613a517e01eae5173fde2b3fdabaa,92,205280,0.437,https://api.spotify.com/v1/audio-analysis/7dZ1Odmx9jWIweQSatnRqo,0.665,205280,0.424,7dZ1Odmx9jWIweQSatnRqo,0.0,0,0.107,-7.838,1,0.0444,129.911,4,https://api.spotify.com/v1/tracks/7dZ1Odmx9jWIweQSatnRqo,audio_features,spotify:track:7dZ1Odmx9jWIweQSatnRqo,0.134,438,122,80,2016-10-21,2016,7dZ1Odmx9jWIweQSatnRqo,Million Reasons,Million Reasons,1
https://i.scdn.co/image/5232b1dcb43188537b7f9f1e77cad1f9a38870d1,Imagine Dragons,14305824,https://i.scdn.co/image/1cdf5ce3cf329ae433bfa76e88dadeb06653fda9,https://i.scdn.co/image/ff8d83627cb2a80d4c1fa36fd80a193ca34b7a50,94,187146,0.00671,https://api.spotify.com/v1/audio-analysis/1zB4vmk8tFRmM9UULNzbLB,0.605,187147,0.822,1zB4vmk8tFRmM9UULNzbLB,0.134,0,0.147,-4.833,1,0.0438,167.997,4,https://api.spotify.com/v1/tracks/1zB4vmk8tFRmM9UULNzbLB,audio_features,spotify:track:1zB4vmk8tFRmM9UULNzbLB,0.288,231,87,87,2017-06-23,2017,1zB4vmk8tFRmM9UULNzbLB,Thunder,Thunder,1
