album_url,artist,artist_followers,artist_image_url_l,artist_image_url_s,artist_popularity,duration_ms,features.acousticness,features.analysis_url,features.danceability,features.duration_ms,features.energy,features.id,features.instrumentalness,features.key,features.liveness,features.loudness,features.mode,features.speechiness,features.tempo,features.time_signature,features.track_href,features.type,features.uri,features.valence,lyric_total_word_count,lyric_unique_word_count,popularity,release_date,release_year,song_id,song_name,track
https://i.scdn.co/image/7ee64b20bef73ee2c1cbd3ff93993cfd6bc62648,Billie Eilish,2729971,https://i.scdn.co/image/1805cf70eb5b206794d098cf443f8e34ca825e85,https://i.scdn.co/image/cf894f0733ff64bb17bbcbf3145547ab2103a37b,93,200379,0.816,https://api.spotify.com/v1/audio-analysis/7hDVYcQq6MxkdJGweuCtl9,0.511,200379,0.363,7hDVYcQq6MxkdJGweuCtl9,0.0317,4,0.084,-7.65,0,0.041,144.892,4,https://api.spotify.com/v1/tracks/7hDVYcQq6MxkdJGweuCtl9,audio_features,spotify:track:7hDVYcQq6MxkdJGweuCtl9,0.169,189,72,84,12/22/17,2017,7hDVYcQq6MxkdJGweuCtl9,OCEAN,ocean eyes
https://i.scdn.co/image/47841a865a85ae39da440a1346e56190bf035d02,Liam Payne,3075315,https://i.scdn.co/image/a4b9fdf99fb027a3fe773be9b390ccadddb9b587,https://i.scdn.co/image/74df6099b05bf92209449e9d58089663859acb6f,86,244600,0.0159,https://api.spotify.com/v1/audio-analysis/1YQPmgqj0dhqOcrkfuHHKj,0.536,244600,0.791,1YQPmgqj0dhqOcrkfuHHKj,0,2,0.235,-4.655,0,0.0343,113.068,4,https://api.spotify.com/v1/tracks/1YQPmgqj0dhqOcrkfuHHKj,audio_features,spotify:track:1YQPmgqj0dhqOcrkfuHHKj,0.187,311,226,63,11/23/18,2018,1YQPmgqj0dhqOcrkfuHHKj,FOR YOU (FIFTY SHADES FREED),For You (Fifty Shades Freed)
https://i.scdn.co/image/95604cf23534a5d64c24a8b018944a4c240e7ebc,David Guetta,16760989,https://i.scdn.co/image/0de6be7a3a2d1a82a7adafdbb44282b136741150,https://i.scdn.co/image/86277c32db4a89ff74e9478a852e701975a4a49c,91,195000,0.0723,https://api.spotify.com/v1/audio-analysis/33IOhptvC2Qoy2UhjiHXLV,0.609,195000,0.726,33IOhptvC2Qoy2UhjiHXLV,8.45E-06,5,0.0895,-4.346,0,0.0414,93.958,4,https://api.spotify.com/v1/tracks/33IOhptvC2Qoy2UhjiHXLV,audio_features,spotify:track:33IOhptvC2Qoy2UhjiHXLV,0.362,350,86,83,3/22/18,2018,33IOhptvC2Qoy2UhjiHXLV,FLAMES,Flames
https://i.scdn.co/image/15f95fb58aab0ef346f5241283f8ae955ff1226e,Lil Wayne,6908125,https://i.scdn.co/image/3c7abd562ec4d3e75cb99186404baa2035a5040b,https://i.scdn.co/image/5571c43301ca9d2bf86c768d3946ea946f6d270d,92,249751,0.4,https://api.spotify.com/v1/audio-analysis/4E3qImtJzRqLt8ZZyLceOE,0.746,249751,0.644,4E3qImtJzRqLt8ZZyLceOE,0,7,0.095,-2.605,1,0.232,146.178,4,https://api.spotify.com/v1/tracks/4E3qImtJzRqLt8ZZyLceOE,audio_features,spotify:track:4E3qImtJzRqLt8ZZyLceOE,0.542,821,229,70,9/28/18,2018,4E3qImtJzRqLt8ZZyLceOE,STRANGERS,Perfect Strangers
https://i.scdn.co/image/e07185ca1fc9e5f59ad13a442d452ebea2fa192a,Years & Years,896427,https://i.scdn.co/image/179e1ae602c611e45f167eedbc26f65964365fe6,https://i.scdn.co/image/3971c192ab2108fff735d7cf5ef8932b6dbe4829,77,189000,0.0615,https://api.spotify.com/v1/audio-analysis/01k24g94i1JvkFLQmVEdCd,0.647,189000,0.853,01k24g94i1JvkFLQmVEdCd,0,8,0.062,-4.516,1,0.0904,103.846,4,https://api.spotify.com/v1/tracks/01k24g94i1JvkFLQmVEdCd,audio_features,spotify:track:01k24g94i1JvkFLQmVEdCd,0.618,504,151,76,5/10/18,2018,01k24g94i1JvkFLQmVEdCd,IF YOU'RE OVER ME,If You're Over Me
https://i.scdn.co/image/75c02b42da899fc03b8a3cbfb8686a3920385525,Shawn Mendes,13228848,https://i.scdn.co/image/a9f8300b3671d2fb4f6261dcd161332d95c76e4c,https://i.scdn.co/image/d874d70749ecc2fe3c875e557a5316ead55aa06e,90,211360,0.0573,https://api.spotify.com/v1/audio-analysis/2QZ7WLBE8h2y1Y5Fb8RYbH,0.622,211360,0.712,2QZ7WLBE8h2y1Y5Fb8RYbH,0,5,0.13,-7.321,1,0.066,140.025,4,https://api.spotify.com/v1/tracks/2QZ7WLBE8h2y1Y5Fb8RYbH,audio_features,spotify:track:2QZ7WLBE8h2y1Y5Fb8RYbH,0.487,333,97,85,5/25/18,2018,2QZ7WLBE8h2y1Y5Fb8RYbH,IN MY BLOOD,In My Blood
https://i.scdn.co/image/78deb188cc89b8f8c9a7ccf907f76702cac86dc8,Lil Skies,1775770,https://i.scdn.co/image/1ca2a6d7a0f3e7bd8ccf8982681f9bde6d4938ef,https://i.scdn.co/image/e2d587b94e8375f4ba57c8b8051d034a8ea4a785,85,211200,0.194,https://api.spotify.com/v1/audio-analysis/5Cg98kiDYtCEHmjcKD0CJD,0.773,211200,0.602,5Cg98kiDYtCEHmjcKD0CJD,0.000443,10,0.141,-6.384,1,0.108,74.896,4,https://api.spotify.com/v1/tracks/5Cg98kiDYtCEHmjcKD0CJD,audio_features,spotify:track:5Cg98kiDYtCEHmjcKD0CJD,0.442,595,388,75,5/31/18,2018,5Cg98kiDYtCEHmjcKD0CJD,I KNOW YOU,I Know You (feat. Yung Pinch)
https://i.scdn.co/image/ae2edb70f5e67fc5f7f8f92b2b0f3e846699b447,Taylor Swift,16393230,https://i.scdn.co/image/33bc9128ad82f7d39847b6db6a49d5416502e7e7,https://i.scdn.co/image/cec43c2fb746ea2a0c7546aa3408fe2f94887fe4,89,232253,0.216,https://api.spotify.com/v1/audio-analysis/6NFyWDv5CjfwuzoCkw47Xf,0.75,232253,0.404,6NFyWDv5CjfwuzoCkw47Xf,0.000357,9,0.0911,-10.178,0,0.0682,95.045,4,https://api.spotify.com/v1/tracks/6NFyWDv5CjfwuzoCkw47Xf,audio_features,spotify:track:6NFyWDv5CjfwuzoCkw47Xf,0.0499,630,140,81,11/10/17,2017,6NFyWDv5CjfwuzoCkw47Xf,Delicate,Delicate
https://i.scdn.co/image/ae2edb70f5e67fc5f7f8f92b2b0f3e846699b447,Taylor Swift,16393230,https://i.scdn.co/image/33bc9128ad82f7d39847b6db6a49d5416502e7e7,https://i.scdn.co/image/cec43c2fb746ea2a0c7546aa3408fe2f94887fe4,89,244826,0.00845,https://api.spotify.com/v1/audio-analysis/2x0WlnmfG39ZuDmstl9xfX,0.649,244827,0.589,2x0WlnmfG39ZuDmstl9xfX,0,2,0.108,-6.237,1,0.0558,159.073,4,https://api.spotify.com/v1/tracks/2x0WlnmfG39ZuDmstl9xfX,audio_features,spotify:track:2x0WlnmfG39ZuDmstl9xfX,0.151,864,253,76,11/10/17,2017,2x0WlnmfG39ZuDmstl9xfX,End Game,End Game
https://i.scdn.co/image/ae2edb70f5e67fc5f7f8f92b2b0f3e846699b447,Taylor Swift,16393231,https://i.scdn.co/image/33bc9128ad82f7d39847b6db6a49d5416502e7e7,https://i.scdn.co/image/cec43c2fb746ea2a0c7546aa3408fe2f94887fe4,89,211853,0.204,https://api.spotify.com/v1/audio-analysis/1P17dC1amhFzptugyAO7Il,0.766,211853,0.709,1P17dC1amhFzptugyAO7Il,1.41E-05,9,0.126,-6.471,0,0.123,128.07,4,https://api.spotify.com/v1/tracks/1P17dC1amhFzptugyAO7Il,audio_features,spotify:track:1P17dC1amhFzptugyAO7Il,0.506,636,134,79,11/10/17,2017,1P17dC1amhFzptugyAO7Il,Look What You Made Me Do,Look What You Made Me Do
